,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
93,2.0,0.0,1.0,0.0,0.0,1.0,461.0,36.0,0.0,0.0,1.0,2.0,463.0,92.45,66.66666666666667,3.0
94,2.0,0.0,1.0,0.0,0.0,1.0,460.0,37.0,0.0,0.0,1.0,2.0,462.0,92.45833333333334,68.75,3.2
95,2.0,0.0,0.0,0.0,0.0,0.0,460.0,37.0,0.0,0.0,1.0,2.0,463.0,92.475,100.0,3.0
96,2.0,0.0,0.0,0.0,0.0,0.0,460.0,37.0,0.0,0.0,1.0,2.0,462.0,92.475,100.0,3.0
97,2.0,0.0,1.0,0.0,0.0,1.0,459.0,38.0,0.0,0.0,1.0,2.0,462.0,92.475,66.66666666666667,3.0
98,2.0,0.0,0.0,0.0,0.0,0.0,459.0,38.0,0.0,0.0,1.0,2.0,463.0,92.48333333333335,100.0,3.0
99,2.0,0.0,2.0,0.0,0.0,2.0,457.0,40.0,0.0,0.0,1.0,2.0,463.0,92.49166666666666,41.17647058823529,3.4
100,2.0,0.0,3.0,0.0,0.0,3.0,454.0,43.0,0.0,0.0,1.0,2.0,463.0,92.5,25.0,4.0
101,2.0,1.0,1.0,0.0,1.0,1.0,453.0,44.0,0.0,0.0,0.0,3.0,463.0,92.50833333333334,54.54545454545454,4.4
102,2.0,1.0,0.0,0.0,0.0,0.0,453.0,44.0,0.0,0.0,0.0,3.0,464.0,92.525,100.0,4.4
103,2.0,0.0,1.0,0.0,0.0,1.0,452.0,45.0,0.0,0.0,0.0,3.0,464.0,92.53333333333335,78.26086956521738,4.6
104,2.0,0.0,1.0,0.0,0.0,1.0,451.0,46.0,0.0,0.0,0.0,3.0,463.0,92.53333333333335,79.16666666666666,4.8
105,2.0,0.0,1.0,0.0,0.0,0.0,451.0,46.0,0.0,0.0,0.0,3.0,462.0,92.53333333333335,100.0,4.4
106,2.0,0.0,1.0,0.0,0.0,1.0,450.0,47.0,0.0,0.0,0.0,3.0,462.0,92.525,76.19047619047619,4.2
107,2.0,0.0,0.0,0.0,0.0,0.0,450.0,47.0,0.0,0.0,0.0,3.0,463.0,92.51666666666665,100.0,3.8
108,2.0,1.0,1.0,0.0,0.0,1.0,449.0,48.0,0.0,0.0,0.0,3.0,463.0,92.51666666666665,76.19047619047619,4.2
109,2.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,0.0,0.0,0.0,3.0,462.0,92.51666666666665,100.0,4.2
110,1.0,0.0,0.0,1.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,462.0,92.51666666666665,76.19047619047619,4.2
111,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,461.0,92.50833333333334,100.0,4.2
112,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.49166666666666,100.0,4.2
113,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.475,100.0,4.2
114,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.45833333333334,100.0,4.2
115,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.44166666666666,100.0,3.8
116,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.41666666666666,100.0,3.8
117,1.0,0.0,0.0,0.0,0.0,0.0,449.0,48.0,1.0,0.0,0.0,2.0,460.0,92.39166666666665,100.0,3.6
118,1.0,0.0,1.0,0.0,0.0,1.0,448.0,49.0,1.0,0.0,0.0,2.0,460.0,92.375,72.22222222222221,3.6
119,1.0,0.0,1.0,0.0,0.0,1.0,447.0,50.0,1.0,0.0,0.0,2.0,460.0,92.35,73.6842105263158,3.8
120,0.0,0.0,0.0,1.0,0.0,0.0,447.0,50.0,2.0,0.0,0.0,1.0,460.0,92.33333333333334,73.6842105263158,3.8
121,0.0,0.0,0.0,0.0,0.0,0.0,447.0,50.0,2.0,0.0,0.0,1.0,460.0,92.31666666666666,100.0,3.6
122,0.0,1.0,1.0,0.0,1.0,1.0,446.0,51.0,1.0,0.0,0.0,2.0,459.0,92.28333333333335,50.0,4.0
123,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,462.0,92.275,100.0,3.6
124,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,461.0,92.25833333333334,100.0,3.0
125,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,461.0,92.24166666666666,100.0,2.6
126,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,461.0,92.21666666666665,100.0,2.4
127,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,461.0,92.19166666666666,100.0,2.4
